Temps,Temperature_au_laser,Temperature_au_milieu,Temperature_a_lactuateur,Temperature_predit_au_laser
0,24.5,24.5,24.5,24.5
4,24.5000085926498,24.5931277850577,24.503401715346,24.5005959975013
8,24.5005359461996,24.6854768828341,24.5134062336973,24.5017967263498
12,24.5024990632133,24.7741197733588,24.5290828791014,24.5047718197931
16,24.506508361063,24.8592051962868,24.549603640739,24.510004398142
20,24.5129382845624,24.9408759219402,24.57423308445,24.5177718500976
24,24.5219837287383,25.0192689909668,24.6023187710455,24.5281960694662
28,24.5337048906759,25.0945159441026,24.6332826390413,24.5412833063526
32,24.548062770315,25.1667430430827,24.6666132557879,24.5569556326879
36,24.5649471278038,25.2360714824832,24.7018588504894,24.575075649848
40,24.5841983680428,25.3026175930305,24.7386210511845,24.5954657620461
44,24.6056245477377,25.3664930366541,24.7765492554905,24.6179230908081
48,24.6290144754618,25.4278049940507,24.8153355718738,24.6422309030755
52,24.6541476917375,25.4866563446868,24.8547102744856,24.6681672600355
56,24.680801966481,25.5431458389476,24.8944377202565,24.6955114588805
60,24.7087588291558,25.5973682642587,24.9343126820338,24.7240487297758
64,24.7378075476142,25.6494146039274,24.9741570561371,24.7535735608218
68,24.767747890738,25.6993721898995,25.0138169068412,24.7838919509942
72,24.7983919442328,25.7473248491537,25.0531598140219,24.8148228318847
76,24.829565195529,25.7933530447469,25.0920724935537,24.8461988510368
80,24.8611070604096,25.8375340101255,25.1304586630758,24.8778666707349
84,24.8928709888832,25.8799418795348,25.1682371284627,24.9096869045767
88,24.924724259416,25.9206478118864,25.2053400687944,24.9415337886771
92,24.9565475476998,25.9597201102748,25.2417114998277,24.9732946637844
96,24.9882343376386,25.9972243366622,25.2773058979641,25.0048693280318
100,25.0196902273613,26.0332234218112,25.3120869685053,25.0361693067387
104,25.0508321711298,26.0677777709075,25.3460265435993,25.0671170750147
108,25.0815876884616,26.1009453649254,25.379103596741,25.0976452604015
112,25.1118940641641,26.1327818580683,25.4113033619991,25.1276958460036
116,25.1416975569284,26.1633406705062,25.4426165473241,25.157219389184
120,25.1709526293383,26.1926730791314,25.4730386323565,25.1861742666576
124,25.1996212083837,26.2208283025648,25.5025692421107,25.2145259534852
128,25.2276719826209,26.2478535843816,25.5312115887766,25.2422463408786
132,25.2550797398339,26.2737942719912,25.5589719746551,25.2693130957245
136,25.2818247472954,26.2986938930917,25.5858593499461,25.2957090631999
140,25.3078921753855,26.3225942280209,25.6118849197373,25.321421712697
144,25.3332715643291,26.3455353810084,25.6370617951094,25.3464426264192
148,25.3579563330781,26.3675558464185,25.661404683787,25.3707670293837
152,25.3819433288361,26.3886925738296,25.6849296162214,25.394393359136
156,25.4052324153692,26.4089810298881,25.7076537034089,25.4173228731819
160,25.4278260980074,26.4284552579175,25.7295949231212,25.4395592919744
164,25.4497291831126,26.4471479350595,25.7507719315586,25.4611084751868
168,25.4709484697282,26.4650904268733,25.7712038977418,25.4819781289884
172,25.4914924711248,26.4823128401643,25.7909103582286,25.5021775420513
176,25.5113711639952,26.498844073729,25.8099110899884,25.5217173480773
180,25.5305957631257,26.5147118662462,25.8282259994858,25.5406093127175
184,25.5491785194584,26.5299428433685,25.8458750262272,25.5588661428524
188,25.5671325395683,26.5445625621944,25.8628780591976,25.5765013163154
192,25.5844716246913,26.5585955539414,25.8792548647812,25.5935289302554
196,25.6012101275573,26.5720653656047,25.8950250248992,25.6099635664561
200,25.617362825403,26.5849945990218,25.9102078842323,25.6258201720453
204,25.632944807656,26.597404949004,25.9248225055101,25.6411139541474
208,25.6479713768957,26.6093172396861,25.938887631955,25.6558602871401
212,25.6624579618085,26.62075145939,25.952421656065,25.6700746312891
216,25.6764200409577,26.6317267944582,25.965442594002,25.6837724616313
220,25.6898730762889,26.6422616609333,25.9779680649317,25.6969692060773
224,25.7028324553853,26.6523737361343,25.9900152747269,25.7096801917912
228,25.7153134415714,26.6620799877053,26.0016010035114,25.7219205989913
232,25.7273311310492,26.6713967024418,26.0127415965746,25.7337054213917
236,25.7389004163209,26.6803395133188,26.0234529582373,25.7450494325767
240,25.7500359552246,26.6889234261864,26.0337505482953,25.7559671576691
244,25.760752144972,26.6971628445315,26.0436493807071,25.7664728497082
248,25.7710631006351,26.7050715937701,26.0531640242265,25.7765804702164
252,25.7809826375826,26.712662944514,26.0623086047168,25.786303673478
256,25.7905242574161,26.7199496348555,26.0710968089092,25.7956557941057
260,25.7997011370001,26.7269438915094,26.0795418893956,25.804649837508
264,25.80852612022,26.7336574505288,26.0876566706701,25.8132984729127
268,25.8170117121406,26.7401015772228,26.0954535560524,25.821614028636
272,25.8251700752699,26.7462870844598,26.1029445353481,25.8296084893176
276,25.8330130276633,26.7522243513595,26.1101411931145,25.8372934948716
280,25.840552042632,26.7579233405016,26.1170547174183,25.8446803409309
284,25.8477982498432,26.7633936144338,26.1236959089837,25.8517799805822
288,25.8547624376216,26.7686443522122,26.1300751906425,25.8586030272151
292,25.8614550562855,26.7736843643582,26.1362026170064,25.8651597583252
296,25.8678862223636,26.7785221078476,26.1420878842953,25.8714601201277
300,25.8740657235607,26.7831657002481,26.1477403402592,25.8775137328566
304,25.8800030243508,26.7876229332626,26.1531689941443,25.8833298966363
308,25.8857072720934,26.7919012860949,26.1583825266553,25.8889175978264
312,25.891187303578,26.796007937488,26.163389299876,25.8942855157507
316,25.8964516519137,26.7999497784423,26.1681973671155,25.8994420297332
320,25.9015085536911,26.8037334231662,26.1728144826487,25.9043952263717
324,25.9063659563509,26.8073652205289,26.1772481113289,25.9091529069887
328,25.9110315257036,26.8108512644161,26.1815054380501,25.9137225952071
332,25.9155126535492,26.8141974044137,26.1855933770427,25.9181115446021
336,25.9198164653544,26.8174092552104,26.1895185809878,25.9223267463917
340,25.9239498279485,26.8204922061412,26.1932874499388,25.9263749371277
344,25.9279193572058,26.8234514302985,26.1969061400398,25.9302626063584
348,25.9317314256855,26.826291893229,26.2003805720357,25.9339960042359
352,25.9353921702047,26.8290183610352,26.203716439566,25.9375811490453
356,25.9389074993243,26.8316354085702,26.2069192172407,25.9410238346374
360,25.9422831007282,26.8341474273412,26.2099941684939,25.9443296377472
364,25.9455244484835,26.8365586322787,26.2129463532158,25.9475039251856
368,25.9486368101665,26.8388730693555,26.2157806351605,25.9505518608927
372,25.9516252538464,26.8410946221708,26.2185016891329,25.9534784128439
376,25.9544946549168,26.8432270182564,26.2211140079541,25.9562883597995
380,25.9572497027694,26.8452738358272,26.2236219092086,25.9589862978954
384,25.9598949073045,26.8472385093392,26.2260295417756,25.9615766470664
388,25.9624346052738,26.8491243354584,26.2283408921478,25.9640636573027
392,25.9648729664549,26.8509344785395,26.2305597905414,25.966451414735
396,25.9672139996527,26.8526719758564,26.2326899168006,25.9687438475485
400,25.9694615585313,26.8543397429934,26.2347348061024,25.9709447317239
404,25.9716193472716,26.8559405782216,26.2366978544638,25.9730576966088
408,25.9736909260599,26.8574771678706,26.2385823240589,25.9750862303168
412,25.9756797164054,26.858952090222,26.2403913483479,25.9770336849593
416,25.9775890062907,26.8603678201906,26.2421279370247,25.9789032817093
420,25.9794219551561,26.8617267331774,26.243794980788,25.9806981157018
424,25.9811815987212,26.8630311095192,26.245395255939,25.9824211607719
428,25.9828708536458,26.8642831378969,26.2469314288137,25.9840752740351
