0,1,2,3,4
0.0,0.0,298.15,298.15,298.15
0.003625598802395209,1.5,298.15639746148724,298.15,298.15
0.007251197604790418,1.5,298.16279477563546,298.15,298.15
0.010876796407185627,1.5,298.16919194244804,298.15,298.15
0.014502395209580837,1.5,298.1755889619283,298.15,298.15
0.018127994011976047,1.5,298.18198583407974,298.15,298.15
0.021753592814371257,1.5,298.1883825589057,298.15,298.15
0.025379191616766467,1.5,298.19477911233366,298.15,298.15
0.029004790419161677,1.5,298.2011754087677,298.15,298.15
0.03263038922155689,1.5,298.20757106930284,298.15,298.15
0.03625598802395209,1.5,298.2139652487665,298.15,298.15
0.0398815868263473,1.5,298.2203565859467,298.15,298.15
0.043507185628742506,1.5,298.22674324594414,298.15,298.15
0.04713278443113771,1.5,298.2331230101474,298.15,298.15
0.05075838323353292,1.5,298.23949338127727,298.15,298.15
0.054383982035928126,1.5,298.2458516869431,298.15,298.15
0.05800958083832333,1.5,298.252195170181,298.15,298.15
0.06163517964071854,1.5,298.25852106536445,298.15,298.15
0.06526077844311375,1.5,298.2648266579446,298.15,298.15
0.06888637724550896,1.5,298.27110933006986,298.15,298.15
0.07251197604790417,1.5,298.2773665935636,298.15,298.15
0.07613757485029939,1.5,298.2835961125773,298.15,298.15
0.0797631736526946,1.5,298.289795717764,298.15,298.15
0.08338877245508981,1.5,298.29596341379886,298.15,298.15
0.08701437125748503,1.5,298.302097381722,298.15,298.15
0.09063997005988024,1.5,298.308195977378,298.15,298.15
0.09426556886227545,1.5,298.31425772697605,298.15,298.15
0.09789116766467067,1.5,298.3202813205984,298.15,298.15
0.10151676646706588,1.5,298.3262656043157,298.15,298.15
0.1051423652694611,1.5,298.33220957142,298.15,298.15
0.10876796407185631,1.5,298.33811235317245,298.15,298.15
0.11239356287425152,1.5,298.34397320936586,298.15,298.15
0.11601916167664673,1.5,298.3497915189253,298.15,298.15
0.11964476047904195,1.5,298.35556677071094,298.15,298.15
0.12327035928143716,1.5,298.3612985546385,298.15,298.15
0.12689595808383236,1.5,298.36698655319583,298.15,298.15
0.13052155688622757,1.5,298.3726305334053,298.15,298.15
0.1341471556886228,1.5,298.3782303392607,298.15,298.15
0.137772754491018,1.5,298.383785884649,298.15,298.15
0.14139835329341321,1.5,298.3892971467577,298.15,298.15
0.14502395209580843,1.5,298.39476415995756,298.15,298.15
0.14864955089820364,1.5,298.4001870101452,298.15,298.15
0.15227514970059886,1.5,298.40556582952576,298.15,298.15
0.15590074850299407,1.5,298.4109007918126,298.15,298.15
0.15952634730538928,1.5,298.416192107821,298.15,298.15
0.1631519461077845,1.5,298.4214400214294,298.15,298.15
0.1667775449101797,1.5,298.42664480588513,298.15,298.15
0.17040314371257492,1.5,298.43180676042863,298.15,298.15
0.17402874251497014,1.5,298.4369262072146,298.15,298.15
0.17765434131736535,1.5,298.4420034885052,298.15,298.15
0.18127994011976056,1.5,298.4470389641159,298.15,298.15
0.18490553892215578,1.5,298.45203300909276,298.15,298.15
0.188531137724551,1.5,298.45698601160245,298.15,298.15
0.1921567365269462,1.5,298.46189837101764,298.15,298.15
0.19578233532934142,1.5,298.46677049618086,298.15,298.15
0.19940793413173663,1.5,298.47160280383235,298.15,298.15
0.20303353293413184,1.5,298.47639571718736,298.15,298.15
0.20665913173652706,1.5,298.48114966465,298.15,298.15
0.21028473053892227,1.5,298.4858650786517,298.15,298.15
0.21391032934131748,1.5,298.49054239460446,298.15,298.15
0.2175359281437127,1.5,298.49518204995604,298.15,298.15
0.2211615269461079,1.5,298.49978448334195,298.15,298.15
0.22478712574850312,1.5,298.5043501338218,298.15,298.15
0.22841272455089834,1.5,298.50887944019524,298.15,298.15
0.23203832335329355,1.5,298.51337284038885,298.15,298.15
0.23566392215568877,1.5,298.5178307709082,298.15,298.15
0.23928952095808398,1.5,298.52225366634883,298.15000000000003,298.15
0.2429151197604792,1.5,298.5266419589612,298.1500000000001,298.15
0.2465407185628744,1.5,298.53099607826476,298.15000000000015,298.15
0.2501663173652696,1.5,298.53531645070564,298.15000000000026,298.15
0.25379191616766483,1.5,298.53960349935545,298.15000000000043,298.15
0.25741751497006005,1.5,298.5438576436464,298.15000000000066,298.15
0.26104311377245526,1.5,298.54807929913966,298.150000000001,298.15
0.2646687125748505,1.5,298.5522688773237,298.1500000000014,298.15
0.2682943113772457,1.5,298.5564267854403,298.15000000000197,298.15
0.2719199101796409,1.5,298.56055342633516,298.15000000000276,298.15
0.2755455089820361,1.5,298.5646491983309,298.15000000000384,298.15
0.2791711077844313,1.5,298.5687144951205,298.1500000000053,298.15
0.28279670658682654,1.5,298.5727497056789,298.1500000000072,298.15
0.28642230538922175,1.5,298.5767552141916,298.1500000000097,298.15
0.29004790419161697,1.5,298.58073139999794,298.15000000001294,298.15
0.2936735029940122,1.5,298.58467863754777,298.1500000000171,298.15
0.2972991017964074,1.5,298.5885972963707,298.1500000000224,298.15
0.3009247005988026,1.5,298.59248774105646,298.1500000000291,298.15
0.3045502994011978,1.5,298.59635033124437,298.15000000003755,298.15
0.30817589820359303,1.5,298.6001854216224,298.15000000004824,298.15
0.31180149700598825,1.5,298.6039933619342,298.1500000000615,298.15
0.31542709580838346,1.5,298.6077744969925,298.15000000007797,298.15
0.3190526946107787,1.5,298.61152916669965,298.15000000009826,298.15
0.3226782934131739,1.5,298.61525770607363,298.15000000012316,298.15
0.3263038922155691,1.5,298.618960445279,298.15000000015357,298.15
0.3299294910179643,1.5,298.62263770966223,298.1500000001904,298.15
0.33355508982035953,1.5,298.626289819791,298.15000000023497,298.15
0.33718068862275474,1.5,298.6299170914975,298.15000000028857,298.15
0.34080628742514996,1.5,298.63351983592366,298.1500000003528,298.15
0.34443188622754517,1.5,298.63709835957053,298.1500000004294,298.15
0.3480574850299404,1.5,298.6406529643485,298.15000000052044,298.15
0.3516830838323356,1.5,298.6441839476304,298.1500000006281,298.15
