Temps,Temperature_au_laser,Temperature_au_milieu,Temperature_a_lactuateur,Temperature_predit_au_laser
0,19,19,19,19
3,19.0000076244367,19.0476910990682,19.0013073149729,19.0005153980947
6,19.0001678039389,19.0957473513354,19.0052457890165,19.0008746597942
9,19.000768699718,19.1423497572867,19.0115355764153,19.0017914070369
12,19.0020259461443,19.1875423000098,19.0199200285425,19.0034495361979
15,19.0040953547816,19.2313676322468,19.0301641919736,19.0059788109959
18,19.0070836940954,19.273867116174,19.0420531060364,19.0094647555092
21,19.0110577860235,19.3150808626727,19.0553902304202,19.0139569939768
24,19.0160521662619,19.3550477692527,19.0699959930109,19.0194762657663
27,19.0220755200014,19.3938055564776,19.085706448858,19.0260203113529
30,19.0291160746483,19.4313908039423,19.1023720418669,19.0335687971848
33,19.0371461051028,19.4678389844369,19.119856461439,19.0420874232634
36,19.0461256848455,19.5031844976825,19.138035586873,19.0515313366013
39,19.0560057969098,19.5374607027013,19.1567965128769,19.0618479559631
42,19.0667309023383,19.5706999493721,19.1760366500466,19.0729792980431
45,19.0782410495731,19.6029336085827,19.195662894626,19.0848638821344
48,19.090473596079,19.634192102525,19.2155908622938,19.0974382791022
51,19.1033646030743,19.6645049328902,19.2357441811184,19.1106383608254
54,19.1168499552947,19.6939007088435,19.256053839189,19.1244002979963
57,19.1308662500462,19.722407174041,19.2764575827678,19.1386613470695
60,19.1453514932242,19.7500512328161,19.2968993611245,19.1533604610717
63,19.1602456343434,19.7768589755184,19.317328814502,19.1684387537757
66,19.1754909677934,19.8028557033169,19.3377008019311,19.1838398422798
69,19.1910324234096,19.8280659517393,19.3579749658588,19.1995100892194
72,19.2068177659115,19.8525135142388,19.378115330786,19.2153987625736
75,19.2227977197434,19.8762214642946,19.3980899333193,19.2314581282431
78,19.2389260332715,19.8992121774713,19.4178704812411,19.247643488193
81,19.2551594940915,19.9215073523353,19.4374320393801,19.2639131749244
84,19.2714579053199,19.9431280310799,19.4567527402339,19.2802285113072
87,19.2877840311482,19.9640946190425,19.4758135174505,19.2965537433329
90,19.3041035185716,19.9844269046132,19.4945978604161,19.312855952092
93,19.3203848010525,20.0041440773292,19.5130915883338,19.3291049502151
96,19.3365989888935,20.0232647461517,19.5312826422953,19.3452731671153
99,19.3527197502619,20.0418069572082,19.5491608939644,19.3613355266012
102,19.3687231861049,20.0597882104546,19.5667179695942,19.3772693197848
105,19.3845877015969,20.0772254766574,19.5839470881978,19.3930540756616
108,19.4002938762593,20.0941352130373,19.6008429127813,19.4086714312779
111,19.4158243344701,20.1105333790506,19.6174014136292,19.4241050030184
114,19.4311636177255,20.1264354510318,19.6336197427132,19.4393402602158
117,19.4462980597205,20.1418564374391,19.6494961183604,19.4543644020198
120,19.4612156650645,20.1568108925779,19.6650297193878,19.4691662382335
123,19.4759059922451,20.1713129304141,19.6802205879655,19.4837360746371
126,19.4903600412812,20.1853762380155,19.6950695405322,19.4980656031694
129,19.5045701463656,20.1990140880855,19.7095780861328,19.5121477972017
132,19.5185298736838,20.2122393521132,19.7237483516009,19.5259768120446
135,19.5322339244998,20.2250645120882,19.7375830130487,19.5395478907368
138,19.5456780435267,20.237501672353,19.7510852331711,19.5528572751005
141,19.5588589325366,20.2495625711481,19.7642586039066,19.565902121995
144,19.5717741691203,20.261258591312,19.7771070940337,19.5786804246562
147,19.5844221304659,20.2726007716343,19.7896350013115,19.5911909389783
150,19.5968019220021,20.283599816859,19.8018469088074,19.6034331145702
153,19.6089133107268,20.2942661078451,19.8137476450769,19.6154070304013
156,19.6207566630299,20.3046097114098,19.8253422478912,19.6271133348391
159,19.6323328868097,20.3146403898047,19.8366359312274,19.6385531898729
162,19.643643377673,20.3243676100319,19.847634055261,19.6497282193183
165,19.6546899690131,20.3338005524915,19.85834209912,19.6606404607882
168,19.6654748857539,20.3429481199771,19.8687656361762,19.6712923212266
171,19.676000701555,20.351818946025,19.8789103116697,19.6816865357997
174,19.6862702992759,20.3604214028986,19.8887818224762,19.6918261299436
177,19.6962868345023,20.3687636095067,19.8983858988429,19.7017143843777
180,19.7060537019443,20.3768534392869,19.9077282879306,19.711354802895
183,19.7155745045247,20.3846985272886,19.9168147390142,19.7207510827519
186,19.7248530249804,20.3923062777927,19.9256509902035,19.7299070874856
189,19.7338931998111,20.3996838709096,19.9342427565586,19.7388268219968
192,19.7426990954165,20.4068382696025,19.9425957194818,19.7475144097413
195,19.7512748862688,20.4137762261964,19.9507155172804,19.7559740718851
198,19.7596248349807,20.420504288803,19.9586077367995,19.7642101082843
201,19.7677532741323,20.427028807115,19.9662779060342,19.7722268801583
204,19.7756645897296,20.4333559391078,19.9737314876371,19.7800287943334
207,19.7833632061772,20.4394916563695,19.9809738732436,19.7876202889411
210,19.7908535726504,20.4454417496439,19.9880103785432,19.7950058204638
213,19.7981401507644,20.4512118347139,19.9948462390314,19.802189852024
216,19.8052274034399,20.4568073572979,20.0014866063817,19.8091768428249
219,19.8121197848751,20.4622335984634,20.0079365453821,19.8159712386509
222,19.8188217315369,20.4674956795341,20.0142010313844,19.8225774633472
225,19.825337654092,20.4725985667727,20.0202849482201,19.8289999111994
228,19.8316719302035,20.4775470762985,20.0261930865387,19.8352429401441
231,19.8378288981228,20.4823458785142,20.0319301425286,19.8413108657409
234,19.8438128510138,20.4869995025088,20.0375007169855,19.8472079558443
237,19.8496280319473,20.4915123404197,20.0429093146926,19.8529384259188
240,19.8552786295123,20.4958886513205,20.0481603440829,19.8585064349435
243,19.860768773991,20.5001325656218,20.0532581171557,19.863916081855
246,19.8661025340499,20.5042480888114,20.0582068496203,19.8691714024843
249,19.8712839139039,20.5082391049463,20.0630106612439,19.8742763669452
252,19.8763168509109,20.5121093808496,20.0676735763816,19.8792348774324
255,19.8812052135593,20.5158625692331,20.0721995246683,19.8840507663965
258,19.8859527998143,20.5195022124357,20.0765923418544,19.8887277950593
261,19.8905633357899,20.5230317453962,20.0808557707695,19.8932696522392
264,19.8950404747161,20.5264544993886,20.0849934623966,19.8976799534592
267,19.8993877961754,20.5297737047361,20.089008977045,19.9019622403089
270,19.9036088055812,20.5329924941146,20.0929057856085,19.9061199800381
273,19.9077069338769,20.5361139054645,20.0966872708962,19.9101565653576
276,19.9116855374315,20.5391408846892,20.100356729027,19.9140753144293
279,19.9155478981145,20.5420762886711,20.1039173708772,19.9178794710234
282,19.9192972235298,20.5449228878494,20.1073723235718,19.921572204827
285,19.9229366473932,20.5476833688283,20.1107246320137,19.9251566118886
288,19.9264692300373,20.5503603370016,20.1139772604406,19.928635715182
291,19.92989795903,20.5529563187538,20.117133094006,19.9320124652776
294,19.9332257498937,20.555473764227,20.1201949403757,19.9352897411074
297,19.9364554469128,20.5579150494711,20.1231655313368,19.9384703508143
300,19.9395898240199,20.5602824784001,20.1260475244126,19.9415570326726
303,19.9426315857488,20.5625782855219,20.1288435044799,19.9445524560729
306,19.9455833682472,20.5648046375326,20.1315559853848,19.9474592225612
309,19.94844774034,20.5669636356803,20.1341874115534,19.9502798669237
312,19.9512272046344,20.5690573176762,20.1367401595933,19.9530168583127
315,19.9539241986629,20.5710876594552,20.1392165398857,19.9556726014037
318,19.9565410960544,20.5730565772761,20.1416187981623,19.9582494375805
321,19.9590802077306,20.5749659294108,20.1439491170673,19.9607496461414
324,19.9615437831209,20.5768175178922,20.1462096177018,19.9631754455213
327,19.9639340113914,20.5786130903038,20.1484023611483,19.9655289945267
330,19.9662530226847,20.580354341171,20.150529349975,19.9678123935785
